paper_id,date,year,phase_1931plus,explicit_she_title,women_implicit,education_topic,editorial,female_creator,headline_len,sentiment_score,sentiment_label,cluster_id
民立报,1912-12-26,1912,0,0,0,0,0,0,7,0.44374875436620154,negative,
民立报,1913-01-21,1913,0,0,0,0,0,0,5,0.9442594998717901,positive,
民立报,1913-01-23,1913,0,0,0,0,0,0,7,0.6199328908674359,positive,
民立报,1913-01-27,1913,0,0,0,0,0,0,7,0.6891960722859889,positive,
民立报,1913-02-23,1913,0,0,0,0,0,0,34,0.8016577154258104,positive,
民立报,1913-03-25,1913,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1913-04-01,1913,0,0,0,0,0,0,39,0.9844212768209529,positive,
民立报,1913-04-03,1913,0,0,0,0,0,0,7,0.8650493333363,positive,
民立报,1913-04-04,1913,0,0,0,0,0,0,12,0.8859443255958902,positive,
皖江日报,1913-04-19,1913,0,0,0,0,0,0,5,0.5205715886735012,neutral,
民立报,1913-04-22,1913,0,0,0,0,0,0,22,0.7837651195455527,positive,
民立报,1913-05-24,1913,0,0,0,0,0,0,5,0.8182313426953005,positive,
民立报,1913-06-03,1913,0,0,0,0,0,0,7,0.34176742838539986,negative,
民立报,1913-06-13,1913,0,0,0,0,0,0,6,0.46052481069873386,neutral,
民立报,1913-06-14,1913,0,0,0,0,0,0,7,0.44767845850986676,negative,
民立报,1913-06-14,1913,0,0,0,0,0,0,7,0.5061015630275717,neutral,
民立报,1913-06-23,1913,0,0,0,0,0,0,4,0.4737672181921908,neutral,
民立报,1913-07-06,1913,0,0,0,0,0,0,6,0.350800987440239,negative,
民立报,1913-07-25,1913,0,0,0,0,0,0,4,0.8630530555797126,positive,
禹域新闻,1914-06-07,1914,0,0,0,0,0,0,7,0.5288928307563826,neutral,
禹域新闻,1914-06-08,1914,0,0,0,0,0,0,8,0.4871614240821385,neutral,
禹域新闻,1914-06-11,1914,0,0,0,0,0,0,14,0.1626220387502182,negative,
禹域新闻,1914-06-13,1914,0,0,0,0,0,0,4,0.8329041565751394,positive,
禹域新闻,1914-06-17,1914,0,0,0,0,0,0,12,0.9472741188761067,positive,
禹域新闻,1914-06-18,1914,0,0,0,0,0,0,4,0.7729474180917917,positive,
禹域新闻,1914-06-23,1914,0,0,0,0,0,0,9,0.7870850692290918,positive,
禹域新闻,1914-06-26,1914,0,0,0,0,0,0,16,0.1626220387502182,negative,
禹域新闻,1914-06-29,1914,0,0,0,0,0,0,7,0.47504198527260744,neutral,
禹域新闻,1914-06-30,1914,0,0,0,0,0,0,4,0.5285524568393094,neutral,
禹域新闻,1914-07-01,1914,0,0,0,0,0,0,6,0.44150902706688266,negative,
禹域新闻,1914-07-02,1914,0,0,0,0,0,0,29,0.06587933173793703,negative,
禹域新闻,1914-08-12,1914,0,0,0,0,0,0,9,0.8575958065469332,positive,
禹域新闻,1914-10-19,1914,0,0,0,0,0,0,5,0.7238050534365084,positive,
禹域新闻,1914-10-21,1914,0,0,0,0,0,0,8,0.889758479147491,positive,
禹域新闻,1914-10-21,1914,0,0,0,0,0,0,6,0.44767845850986676,negative,
禹域新闻,1914-10-22,1914,0,0,0,0,0,0,17,0.05273260078701458,negative,
禹域新闻,1914-10-24,1914,0,0,0,0,0,0,2,0.6958904109589041,positive,
禹域新闻,1914-10-24,1914,0,0,0,0,0,0,3,0.08983970055717583,negative,
禹域新闻,1914-10-24,1914,0,0,0,0,0,0,12,0.9850307922043272,positive,
禹域新闻,1914-10-24,1914,0,0,0,0,0,0,6,0.30181627974415026,negative,
